"table","fieldName","description","dataType","units"
"bet_taxonomy","taxonID","Species code, based on one or more sources","string",
"bet_taxonomy","acceptedTaxonID","Accepted species code, based on one or more sources","string",
"bet_taxonomy","synonymyStartUseDate","Earliest date at which the taxonID was mapped to the corresponding acceptedTaxonID","date",
"bet_taxonomy","synonymyEndUseDate","Latest date at which the taxonID was mapped to the corresponding acceptedTaxonID","date",
"bet_taxonomy","kingdom","The scientific name of the kingdom in which the taxon is classified","string",
"bet_taxonomy","phylum","The scientific name of the phylum or division in which the taxon is classified","string",
"bet_taxonomy","class","The scientific name of the class in which the taxon is classified","string",
"bet_taxonomy","order","The scientific name of the order in which the taxon is classified","string",
"bet_taxonomy","family","The scientific name of thefamily in which the taxon is classified","string",
"bet_taxonomy","subfamily","The scientific name of the subfamily in which the taxon is classified","string",
"bet_taxonomy","tribe","The scientific name of the tribe in which the taxon is classified","string",
"bet_taxonomy","genus","The scientific name of the genus in which the taxon is classified","string",
"bet_taxonomy","subgenus","The scientific name of the subgenus in which the taxon is classified","string",
"bet_taxonomy","speciesGroup","The unofficial species group into which the taxon is categorized","string",
"bet_taxonomy","specificEpithet","The specific epithet (second part of the species name) of the scientific name applied to the taxon","string",
"bet_taxonomy","infraspecificEpithet","The infraspecific epithet (scientific name below the rank of species) of the scientific name applied to the taxon","string",
"bet_taxonomy","scientificName","Scientific name, associated with the taxonID. This is the name of the lowest level taxonomic rank that can be determined","string",
"bet_taxonomy","scientificNameAuthorship","Name of the individual(s) who designated the scientific name of the taxon","string",
"bet_taxonomy","taxonRank","The lowest level taxonomic rank that can be determined for the individual or specimen","string",
"bet_taxonomy","vernacularName","A common or vernacular name","string",
"bet_taxonomy","nameAccordingTo","The reference to the source in which the specific taxon concept circumscription is defined or implied (e.g., reference keys, monographs, names of experts)","string",
"bet_taxonomy","nameAccordingToID","An identifier for the source in which the specific taxon concept circumscription is defined or implied","string",
"bet_taxonomy","d20LocalityStatusSource","The reference to the source describing whether the taxon is established in NEON Domain 20","string",
